SUCEPTIBLE,EXPOSED,RECOVERED,INFECTED
998,1,1,0
999,1,0,0
999,1,0,0
996,3,0,1
995,4,0,1
995,4,1,0
995,3,1,1
990,7,1,2
986,9,2,3
979,15,2,4
976,17,3,4
974,17,2,7
966,24,5,5
963,27,5,5
966,26,4,4
965,27,5,3
965,24,5,6
958,30,4,8
955,31,5,9
948,33,6,13
944,34,8,14
940,33,10,17
934,37,14,15
929,43,15,13
926,41,14,19
920,45,19,16
915,47,19,19
911,53,23,13
910,51,22,17
903,56,22,19
901,58,23,18
900,56,20,24
899,56,23,22
898,55,28,19
896,58,27,19
899,55,28,18
896,55,27,22
895,54,27,24
890,57,25,28
886,60,26,28
885,59,34,22
886,58,36,20
886,62,37,15
884,63,38,15
884,69,34,13
878,68,29,25
871,72,28,29
875,72,30,23
877,68,30,25
879,70,30,21
877,73,29,21
877,73,31,19
870,83,28,19
855,98,26,21
845,104,29,22
837,105,32,26
828,110,40,22
823,109,43,25
810,119,43,28
813,119,40,28
808,118,41,33
795,131,43,31
797,127,44,32
790,134,50,26
788,130,49,33
783,128,48,41
786,133,52,29
783,141,48,28
783,140,45,32
775,145,45,35
766,146,46,42
755,147,50,48
745,159,50,46
734,165,56,45
729,157,63,51
726,158,68,48
721,158,71,50
710,158,76,56
706,162,74,58
703,168,77,52
706,162,75,57
706,165,79,50
697,172,77,54
694,176,81,49
696,171,79,54
695,173,81,51
700,173,82,45
694,177,75,54
695,171,84,50
702,167,84,47
684,181,85,50
692,179,78,51
684,177,77,62
683,183,73,61
663,191,78,68
642,205,77,76
636,219,82,63
623,218,91,68
628,219,89,64
626,227,81,66
625,220,91,64
624,220,90,66
615,229,88,68
607,236,89,68
598,224,95,83
593,223,108,76
582,235,113,70
581,240,104,75
581,240,101,78
578,247,98,77
568,249,102,81
555,258,111,76
536,263,115,86
517,276,114,93
508,286,114,92
489,297,123,91
498,284,123,95
497,280,119,104
480,288,119,113
481,287,125,107
466,297,131,106
471,297,139,93
465,298,144,93
460,310,131,99
451,306,129,114
446,296,143,115
445,298,142,115
433,304,148,115
417,319,156,108
412,318,159,111
414,307,175,104
408,317,184,91
426,313,168,93
424,304,163,109
420,309,164,107
413,319,163,105
411,328,168,93
410,328,157,105
401,337,154,108
396,346,156,102
378,347,159,116
363,352,174,111
346,381,172,101
361,372,167,100
372,365,154,109
368,376,153,103
368,373,162,97
364,374,168,94
376,354,164,106
375,349,173,103
372,357,162,109
372,365,163,100
377,358,159,106
370,350,163,117
361,357,177,105
363,355,170,112
360,351,190,99
366,345,187,102
394,335,176,95
379,351,167,103
372,360,158,110
350,378,166,106
343,381,167,109
336,392,163,109
330,385,157,128
308,392,170,130
306,379,179,136
297,382,198,123
287,397,203,113
293,384,207,116
307,374,200,119
322,382,188,108
332,386,176,106
318,390,168,124
309,387,179,125
308,386,174,132
312,386,167,135
308,382,171,139
304,389,180,127
301,396,183,120
289,396,192,123
300,400,204,96
319,381,187,113
309,385,188,118
314,394,184,108
323,386,172,119
314,393,169,124
311,393,164,132
289,400,177,134
270,409,191,130
283,389,197,131
272,401,191,136
277,401,194,128
271,406,201,122
276,399,209,116
288,393,200,119
304,376,188,132
293,379,193,135
289,400,193,118
274,403,201,122
270,400,201,129
263,399,209,129
252,411,213,124
254,411,216,119
259,414,211,116
270,408,200,122
289,396,194,121
284,392,193,131
277,395,187,141
262,398,188,152
249,404,213,134
248,402,207,143
243,403,222,132
249,407,212,132
256,399,207,138
262,399,205,134
275,379,208,138
272,380,220,128
274,387,221,118
284,368,206,142
282,372,212,134
286,379,211,124
291,368,199,142
286,378,196,140
280,375,202,143
266,392,199,143
277,385,202,136
290,388,200,122
297,395,185,123
305,390,174,131
298,397,177,128
291,401,174,134
284,397,176,143
282,397,168,153
267,396,172,165
250,397,181,172
245,406,186,163
248,396,191,165
239,394,209,158
247,394,217,142
250,398,214,138
261,389,212,138
265,391,217,127
261,401,208,130
275,402,205,118
275,403,192,130
260,414,202,124
260,418,202,120
255,413,199,133
253,400,203,144
253,394,210,143
275,381,213,131
276,390,196,138
273,387,193,147
265,383,199,153
279,385,197,139
280,380,215,125
311,372,197,120
303,375,203,119
309,380,195,116
318,385,186,111
313,392,182,113
299,381,185,135
307,375,184,134
290,387,186,137
283,390,200,127
268,405,212,115
278,414,185,123
276,420,187,117
292,405,189,114
290,410,182,118
291,410,176,123
275,415,172,138
267,412,188,133
275,401,179,145
275,398,182,145
263,409,199,129
287,384,194,135
285,390,195,130
